S10.G00.00.001,'FACTICE_log_paie'
S10.G00.00.002,'FACTICE_EDITEUR'
S10.G00.00.003,'15456431'
S10.G00.00.004,'0'
S10.G00.00.005,'01'
S10.G00.00.006,'P03V01'
S10.G00.00.007,'01'
S10.G00.00.008,'01'
S10.G00.01.001,'3572322545'
S10.G00.01.002,'0657357'
S10.G00.01.003,'FACTICE_Audit'
S10.G00.01.004,'3 rue factice'
S10.G00.01.005,'92040'
S10.G00.01.006,'Ville factice'
S10.G00.02.001,'01'
S10.G00.02.002,'FACTICE_AUDIT'
S10.G00.02.004,'factice@factice_audit.fr'
S10.G00.02.005,'0654644'
S20.G00.05.001,'01'
S20.G00.05.002,'01'
S20.G00.05.003,'25'
S20.G00.05.004,'0'
S20.G00.05.005,'01052017'
S20.G00.05.007,'01062017'
S20.G00.05.008,'01'
S20.G00.05.010,'01'
S21.G00.06.001,'47844450'
S21.G00.06.002,'0457'
S21.G00.06.003,'67542A'
S21.G00.06.004,'3 rue factice'
S21.G00.06.005,'92040'
S21.G00.06.006,'ISSY'
S21.G00.06.007,'Zone factice'
S21.G00.06.009,'32'
S21.G00.06.013,'01052016'
S21.G00.06.014,'25042017'
S21.G00.11.001,'00044'
S21.G00.11.002,'fthsx2A'
S21.G00.11.003,'3 rue drsd'
S21.G00.11.004,'92040'
S21.G00.11.005,'ISSY'
S21.G00.11.007,'Zone nbnnn'
S21.G00.11.008,'20'
S21.G00.15.001,'0485443'
S21.G00.15.002,'KJFS01'
S21.G00.15.004,'02'
S21.G00.15.005,'103'
S21.G00.15.001,'04/1858-4645-3'
S21.G00.15.002,'P56374'
S21.G00.15.004,'01'
S21.G00.15.005,'144'
S21.G00.15.001,'0534216'
S21.G00.15.002,'LKGI01'
S21.G00.15.004,'01'
S21.G00.15.005,'14522'
S21.G00.15.001,'04/644-0975-9'
S21.G00.15.002,'P05444'
S21.G00.15.004,'2'
S21.G00.15.005,'100'
S21.G00.20.001,'585670015'
S21.G00.20.002,'49755453000044'
S21.G00.20.003,'CHRPPPPNNNAN'
S21.G00.20.004,'FR76qergqerg6654454'
S21.G00.20.005,'2786.00'
S21.G00.20.006,'01052017'
S21.G00.20.007,'31052017'
S21.G00.30.005,'F'
S21.G00.30.006,'15081982'

