Code_du_champ,Valeur_prise
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,0
S10.G00.00.005,01
S10.G00.00.006,P03V01
S10.G00.00.007,01
S10.G00.00.008,01
S10.G00.01.001,3572322545
S10.G00.01.002,0657357
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,3 rue factice
S10.G00.01.005,92040
S10.G00.01.006,Ville factice
S10.G00.02.001,01
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,factice@factice_audit.fr
S10.G00.02.005,0654644
S20.G00.05.001,01
S20.G00.05.002,01
S20.G00.05.003,25
S20.G00.05.004,0
S20.G00.05.005,01-05-2017
S20.G00.05.007,01-06-2017
S20.G00.05.008,01
S20.G00.05.010,01
S21.G00.06.001,47844450
S21.G00.06.002,0457
S21.G00.06.003,67542A
S21.G00.06.004,3 rue factice
S21.G00.06.005,92040
S21.G00.06.006,ISSY
S21.G00.06.007,Zone factice
S21.G00.06.009,32
S21.G00.06.013,01-05-2016
S21.G00.06.014,25-04-2017
S21.G00.11.001,00044
S21.G00.11.002,fthsx2A
S21.G00.11.003,3 rue drsd
S21.G00.11.004,92040
S21.G00.11.005,ISSY
S21.G00.11.007,Zone nbnnn
S21.G00.11.008,20
S21.G00.15.001,0485443
S21.G00.15.002,KJFS01
S21.G00.15.004,02
S21.G00.15.005,103
S21.G00.15.001,04/1858-4645-3
S21.G00.15.002,P56374
S21.G00.15.004,01
S21.G00.15.005,144
S21.G00.15.001,0534216
S21.G00.15.002,LKGI01
S21.G00.15.004,01
S21.G00.15.005,14522
S21.G00.15.001,04/644-0975-9
S21.G00.15.002,P05444
S21.G00.15.004,2
S21.G00.15.005,100
S21.G00.20.001,585670015
S21.G00.20.002,49755453000044
S21.G00.20.003,********************
S21.G00.20.004,FR76qergqerg6654454
S21.G00.20.005,2786.00
S21.G00.20.006,01-05-2017
S21.G00.20.007,31-05-2017
S21.G00.30.005,F
S21.G00.30.006,15-08-1982
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,6
S10.G00.00.005,40
S10.G00.00.006,P02V05
S10.G00.00.007,23
S10.G00.00.008,86
S10.G00.01.001,1106343664
S10.G00.01.002,111061
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"1, rue de Auger
53684 Torresboeuf"
S10.G00.01.005,35030
S10.G00.01.006,Ville Brun-la-Forêt
S10.G00.02.001,1
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Alexandrie_Colas_du_Pottier@factice_audit.fr
S10.G00.02.005,0664799888
S20.G00.05.001,2
S20.G00.05.002,0
S20.G00.05.003,54
S20.G00.05.004,7
S20.G00.05.005,12-04-2006
S20.G00.05.007,10-04-2009
S20.G00.05.008,3
S20.G00.05.010,4
S21.G00.06.001,28928587
S21.G00.06.002,389
S21.G00.06.003,83517IYGcDNnmFCix
S21.G00.06.004,"1, boulevard de Renard
53807 Saint Susanne"
S21.G00.06.005,65089
S21.G00.06.006,Lemonnier-sur-Mer
S21.G00.06.007,Zone rue de Pichon
S21.G00.06.009,66
S21.G00.06.013,02-04-2002
S21.G00.06.014,01-05-1991
S21.G00.11.001,15
S21.G00.11.002,x6-2606038a
S21.G00.11.003,"rue de Moulin
57617 MichaudVille"
S21.G00.11.004,75557
S21.G00.11.005,Daniel
S21.G00.11.007,Zone chemin René Duval
S21.G00.11.008,53
S21.G00.15.001,8673026
S21.G00.15.002,e3-1901281t
S21.G00.15.004,25
S21.G00.15.005,594
S21.G00.15.001,60/298-5086-6
S21.G00.15.002,PDQMHS
S21.G00.15.004,39
S21.G00.15.005,500
S21.G00.15.001,379249
S21.G00.15.002,F2-7279099k
S21.G00.15.004,69
S21.G00.15.005,43353
S21.G00.15.001,06/647-1880-0
S21.G00.15.002,PGEsOU
S21.G00.15.004,5
S21.G00.15.005,429
S21.G00.20.001,598199689
S21.G00.20.002,9.17Y+60
S21.G00.20.003,********************
S21.G00.20.004,FRa2-9165370Y
S21.G00.20.005,5717.76
S21.G00.20.006,01-08-1979
S21.G00.20.007,21-03-1972
S21.G00.30.005,F
S21.G00.30.006,18-09-1989
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,3
S10.G00.00.005,43
S10.G00.00.006,P08V08
S10.G00.00.007,9
S10.G00.00.008,60
S10.G00.01.001,2102927284
S10.G00.01.002,963625
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"335, avenue de Lacombe
50386 Besson"
S10.G00.01.005,66656
S10.G00.01.006,Ville Sainte Geneviève
S10.G00.02.001,15
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Amélie-Danielle_Andre@factice_audit.fr
S10.G00.02.005,0637923637
S20.G00.05.001,13
S20.G00.05.002,70
S20.G00.05.003,98
S20.G00.05.004,9
S20.G00.05.005,19-09-2012
S20.G00.05.007,27-07-1980
S20.G00.05.008,5
S20.G00.05.010,5
S21.G00.06.001,56338702
S21.G00.06.002,908
S21.G00.06.003,55662AbaFsLWnVObr
S21.G00.06.004,"rue Chevalier
87377 Sainte Lucas"
S21.G00.06.005,06405
S21.G00.06.006,Tessier-les-Bains
S21.G00.06.007,Zone avenue de Bonnet
S21.G00.06.009,31
S21.G00.06.013,28-07-1970
S21.G00.06.014,14-05-2014
S21.G00.11.001,47
S21.G00.11.002,i5-1524136h
S21.G00.11.003,"23, boulevard Aurore Rodriguez
30305 Saint Zoé"
S21.G00.11.004,92436
S21.G00.11.005,Ramos-sur-Turpin
S21.G00.11.007,Zone rue de De Oliveira
S21.G00.11.008,26
S21.G00.15.001,2056170
S21.G00.15.002,K4-395419X
S21.G00.15.004,99
S21.G00.15.005,735
S21.G00.15.001,81/882-1968-4
S21.G00.15.002,PPamFb
S21.G00.15.004,56
S21.G00.15.005,832
S21.G00.15.001,609810
S21.G00.15.002,H9-9428355V
S21.G00.15.004,40
S21.G00.15.005,83373
S21.G00.15.001,72/356-6165-0
S21.G00.15.002,PxIZBf
S21.G00.15.004,7
S21.G00.15.005,936
S21.G00.20.001,493489937
S21.G00.20.002,1.68w+90
S21.G00.20.003,********************
S21.G00.20.004,FRx9-3662132W
S21.G00.20.005,9203.51
S21.G00.20.006,26-06-1976
S21.G00.20.007,30-12-2006
S21.G00.30.005,H
S21.G00.30.006,11-06-1981
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,7
S10.G00.00.005,16
S10.G00.00.006,P09V00
S10.G00.00.007,44
S10.G00.00.008,8
S10.G00.01.001,3258125865
S10.G00.01.002,971053
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"20, boulevard de Imbert
60958 Lacroix"
S10.G00.01.005,13419
S10.G00.01.006,Ville Bonnet
S10.G00.02.001,94
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Richard-Éric_Klein@factice_audit.fr
S10.G00.02.005,0631943381
S20.G00.05.001,31
S20.G00.05.002,90
S20.G00.05.003,37
S20.G00.05.004,7
S20.G00.05.005,24-03-1987
S20.G00.05.007,01-11-1972
S20.G00.05.008,8
S20.G00.05.010,10
S21.G00.06.001,48788969
S21.G00.06.002,705
S21.G00.06.003,89543sfQDyzumPRpv
S21.G00.06.004,"rue Marques
57980 Couturier"
S21.G00.06.005,89705
S21.G00.06.006,Godard
S21.G00.06.007,Zone boulevard de Gomez
S21.G00.06.009,52
S21.G00.06.013,14-11-1997
S21.G00.06.014,20-07-1989
S21.G00.11.001,48
S21.G00.11.002,X8-4365845s
S21.G00.11.003,"5, rue Dos Santos
32849 Millet"
S21.G00.11.004,92310
S21.G00.11.005,Saint Michellenec
S21.G00.11.007,Zone rue de Vallet
S21.G00.11.008,44
S21.G00.15.001,2687410
S21.G00.15.002,n8-3545993g
S21.G00.15.004,75
S21.G00.15.005,449
S21.G00.15.001,23/142-7392-4
S21.G00.15.002,PgdGCR
S21.G00.15.004,30
S21.G00.15.005,123
S21.G00.15.001,689480
S21.G00.15.002,U8-5714143u
S21.G00.15.004,30
S21.G00.15.005,88106
S21.G00.15.001,72/383-6801-8
S21.G00.15.002,PfneCd
S21.G00.15.004,2
S21.G00.15.005,998
S21.G00.20.001,896340162
S21.G00.20.002,1.83l+21
S21.G00.20.003,********************
S21.G00.20.004,FRe3-2816854A
S21.G00.20.005,5718.26
S21.G00.20.006,29-04-1990
S21.G00.20.007,19-09-1988
S21.G00.30.005,H
S21.G00.30.006,02-08-1991
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,8
S10.G00.00.005,33
S10.G00.00.006,P07V05
S10.G00.00.007,39
S10.G00.00.008,54
S10.G00.01.001,2362083296
S10.G00.01.002,710391
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"566, rue Bernard
14488 Pages-sur-Mer"
S10.G00.01.005,42877
S10.G00.01.006,Ville Carlier
S10.G00.02.001,20
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Marthe-Caroline_Diallo@factice_audit.fr
S10.G00.02.005,0660047290
S20.G00.05.001,65
S20.G00.05.002,21
S20.G00.05.003,56
S20.G00.05.004,5
S20.G00.05.005,11-05-1990
S20.G00.05.007,25-09-2008
S20.G00.05.008,3
S20.G00.05.010,2
S21.G00.06.001,55038988
S21.G00.06.002,694
S21.G00.06.003,19462EiuFSTIsCgyc
S21.G00.06.004,"2, avenue Anastasie Perrin
74253 Garnier-les-Bains"
S21.G00.06.005,03388
S21.G00.06.006,Lebonboeuf
S21.G00.06.007,Zone avenue de Cohen
S21.G00.06.009,29
S21.G00.06.013,12-03-1996
S21.G00.06.014,17-06-2009
S21.G00.11.001,64
S21.G00.11.002,c3-7575579H
S21.G00.11.003,"95, rue André Garcia
69299 Gaillard"
S21.G00.11.004,12512
S21.G00.11.005,Ollivier-sur-Pages
S21.G00.11.007,Zone boulevard Morvan
S21.G00.11.008,63
S21.G00.15.001,5980498
S21.G00.15.002,H4-2058504r
S21.G00.15.004,7
S21.G00.15.005,423
S21.G00.15.001,85/488-8744-1
S21.G00.15.002,PbBjyg
S21.G00.15.004,74
S21.G00.15.005,726
S21.G00.15.001,905805
S21.G00.15.002,t5-3887025C
S21.G00.15.004,13
S21.G00.15.005,13994
S21.G00.15.001,09/369-6859-4
S21.G00.15.002,PyKUJf
S21.G00.15.004,1
S21.G00.15.005,153
S21.G00.20.001,294535772
S21.G00.20.002,0.92X+43
S21.G00.20.003,********************
S21.G00.20.004,FRk0-2583417l
S21.G00.20.005,4223.55
S21.G00.20.006,10-07-1979
S21.G00.20.007,22-05-2000
S21.G00.30.005,F
S21.G00.30.006,07-04-1997
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
